logFC	logCPM	F	PValue	FDR	mrna
-2.51679898588216	2.82448253094482	20.603773376505	0.000322029614079691	0.00139771935747782	YDL181W
1.85591916538621	2.32942663621229	20.5963335953335	0.000322580168072386	0.00139944000291317	YBR298C
1.30484639980843	3.05937372496357	20.5928740544423	0.00032283653973251	0.00139945585813596	XUT_5R-26
1.52929148432526	2.72842532498271	20.5921250827927	0.000322892072995027	0.00139945585813596	YBR250W
-2.64772689682953	5.80899134075606	22.3343737888092	0.00032334611680289	0.00140051885133322	YER003C
-0.978882363100776	4.81958017383713	20.584664696272	0.000323445818419136	0.00140051885133322	YJL169W
3.58017424473476	3.02972512748607	20.9414676661154	0.000323901872323213	0.00140182507182782	CUT776
1.85999333813143	3.17567745998584	20.5738424369743	0.000324250999514028	0.00140266749670671	CUT723
-0.512701634166482	6.41708192552011	20.5055949192478	0.000329380938900587	0.00142418044057968	YPL260W
-3.28774842398164	2.89350764820669	20.5775501163318	0.000329731780709007	0.00142501883333545	YHR173C
7.45143481547315	2.06635570939854	24.22138336016	0.000330331203284608	0.00142693022161001	CUT438
1.42927052814876	3.78355593980384	20.4649638034682	0.000332478410209034	0.00143552256999431	NUT1249
-0.593618124799907	7.48387245317258	20.4456162507509	0.000333964867253375	0.00144125522559917	YGL207W
2.91223759144003	2.06692761796715	20.3702506911277	0.000339826912242419	0.00146585670458963	XUT_2R-61
1.26146014873541	6.87435428072496	20.9489597010812	0.000341153873770577	0.00147088184892537	XUT_3F-78
3.84050692134945	2.02002031413761	20.3491421085806	0.000341489474089342	0.00147163000699156	CUT774
-0.996947702519863	5.27418071411099	20.3463060019289	0.000341713549646723	0.00147189707343086	YJR004C
-0.527822724588556	6.70702339417599	20.3376965872132	0.000342394778322147	0.0014741320944358	YPR189W
-0.752545150791327	6.64456030033786	20.3277809875068	0.000343181255603437	0.00147681791510863	YER154W
-0.726170894009696	6.47914830394952	20.3231372290714	0.000343550284575501	0.0014775457606831	YIL115W-A
5.10736928546121	1.47938603740734	21.8053489592104	0.000343675842132456	0.0014775457606831	CUT073
-0.69529102354875	9.91121506819599	20.3141340036876	0.000344267024074096	0.00147938692787165	YOL120C
1.59144655275378	3.09784736067225	20.3014650985636	0.000345278438553582	0.00148303132548086	XUT_11R-97
-0.508738080666383	7.86775990799665	20.2813860960574	0.000346888294429693	0.00148924147206696	YDR037W
7.21105464479317	2.04577859299596	23.9150919211925	0.000348476055433867	0.00149535093730601	NUT1302
6.51638333998692	1.12408665908088	21.7108950075225	0.00035041465169414	0.00150295939413452	NUT0308
-0.73447630304913	6.68947698320274	20.2327030765171	0.000350826712675007	0.00150401631307321	YKL104C
-0.464973532838894	7.04057189736709	20.2283072226514	0.000351184805022906	0.00150484097669089	YDL100C
